Caso,MejorCoste,Tiempo(ms)
GKD-b_10_n25_m7,31.1587,340.898
GKD-b_11_n50_m5,3.91119,236.144
GKD-b_12_n50_m5,5.65466,226.889
GKD-b_13_n50_m5,3.08163,195.867
GKD-b_14_n50_m5,5.70529,160.419
GKD-b_15_n50_m5,5.10406,159.256
GKD-b_16_n50_m15,157.796,679.841
GKD-b_17_n50_m15,147.257,770.752
GKD-b_18_n50_m15,147.492,782.819
GKD-b_19_n50_m15,148.342,762.262
GKD-b_1_n25_m2,0,83.9574
GKD-b_20_n50_m15,154.351,706.141
GKD-b_21_n100_m10,66.4351,462.219
GKD-b_22_n100_m10,61.2434,429.286
GKD-b_23_n100_m10,50.3357,412.978
GKD-b_24_n100_m10,65.804,411.678
GKD-b_25_n100_m10,49.9261,413.298
GKD-b_26_n100_m30,562.903,1906.87
GKD-b_27_n100_m30,537.058,2011.77
GKD-b_28_n100_m30,545.919,2003.7
GKD-b_29_n100_m30,509.034,2004.89
GKD-b_2_n25_m2,0,71.3514
GKD-b_30_n100_m30,487.739,1990.84
GKD-b_31_n125_m12,101.676,539.258
GKD-b_32_n125_m12,78.1099,543.642
GKD-b_33_n125_m12,90.3843,553.468
GKD-b_34_n125_m12,115.778,533.466
GKD-b_35_n125_m12,106.392,518.002
GKD-b_36_n125_m37,611.458,2746.47
GKD-b_37_n125_m37,830.32,2744.09
GKD-b_38_n125_m37,796.428,2788.1
GKD-b_39_n125_m37,731.818,2740.58
GKD-b_3_n25_m2,0,127.456
GKD-b_40_n125_m37,740.84,2853.25
GKD-b_41_n150_m15,127.834,749.479
GKD-b_42_n150_m15,152.883,737.045
GKD-b_43_n150_m15,135.643,729.444
GKD-b_44_n150_m15,136.181,771.25
GKD-b_45_n150_m15,137.955,732.245
GKD-b_46_n150_m45,993.572,3944.6
GKD-b_47_n150_m45,969.013,4004.94
GKD-b_48_n150_m45,831.125,3953.65
GKD-b_49_n150_m45,908.045,3619.82
GKD-b_4_n25_m2,0,70.404
GKD-b_50_n150_m45,976.43,3780.43
GKD-b_5_n25_m2,0,71.3943
GKD-b_6_n25_m7,20.3955,235.206
GKD-b_7_n25_m7,16.7429,251.723
GKD-b_8_n25_m7,22.2758,248.249
GKD-b_9_n25_m7,21.7391,258.601
